#CNS11643,Sinopac,Unicode,Unisys,Word
01-2121,3000,3000,A140,　
01-2122,FF0C,FF0C,A141,，
01-2124,3002,3002,A143,。
01-2125,FF0E,FF0E,A144,．
01-2129,FF1F,FF1F,A148,？
01-212C,2026,2026,A14B,…
01-2130,FE52,FE52,A14F,﹒
01-2131,00B7,00B7,A150,·
01-2136,FF5C,FF5C,A155,｜
01-2137,2015,2015,NULL,―
01-213A,FE33,FE33,A159,︳
01-213B,2574,2574,A15A,╴
01-213F,FF09,FF09,A15E,）
01-2141,FE36,FE36,A160,︶
01-2142,FF5B,FF5B,A161,｛
01-2144,FE37,FE37,A163,︷
01-2145,FE38,FE38,A164,︸
01-2146,3014,3014,A165,〔
01-2147,3015,3015,A166,〕
01-2149,FE3A,FE3A,A168,︺
01-214C,FE3B,FE3B,A16B,︻
01-214F,300B,300B,A16E,》
01-2152,3008,3008,A171,〈
01-2153,3009,3009,A172,〉
01-2154,FE3F,FE3F,A173,︿
01-2155,FE40,FE40,A174,﹀
01-2158,FE41,FE41,A177,﹁
01-2159,FE42,FE42,A178,﹂
01-215C,FE43,FE43,A17B,﹃
01-215D,FE44,FE44,A17C,﹄
01-215E,FE59,FE59,A17D,﹙
01-2161,FE5C,FE5C,A1A2,﹜
01-2162,FE5D,FE5D,A1A3,﹝
01-2164,2018,2018,A1A5,‘
01-2165,2019,2019,A1A6,’
01-2166,201C,201C,A1A7,“
01-2169,301E,301E,A1AA,〞
01-216C,FF03,FF03,A1AD,＃
01-216F,203B,203B,A1B0,※
01-2170,00A7,00A7,A1B1,§
01-2173,25CF,25CF,A1B4,●
01-2176,25CE,25CE,A1B7,◎
01-2177,2606,2606,A1B8,☆
01-2178,2605,2605,A1B9,★
01-217A,25C6,25C6,A1BB,◆
01-217B,25A1,25A1,A1BC,□
01-217D,25BD,25BD,A1BE,▽
01-217E,25BC,25BC,A1BF,▼
01-2224,FFE3,FFE3,A1C3,￣
01-2225,FF3F,FF3F,A1C4,＿
01-2226,02CD,02CD,A1C5,ˍ
01-2228,FE4A,FE4A,A1C7,﹊
01-2229,FE4D,FE4D,A1C8,﹍
01-222A,FE4E,FE4E,A1C9,﹎
01-222B,FE4B,FE4B,A1CA,﹋
01-222C,FE4C,FE4C,A1CB,﹌
01-222E,FE60,FE60,A1CD,﹠
01-2231,FF0D,FF0D,A1D0,－
01-2232,00D7,00D7,A1D1,×
01-2239,2266,2266,A1D8,≦
01-223C,221E,221E,A1DB,∞
01-223F,FE62,FE62,A1DE,﹢
01-2241,FE64,FE64,A1E0,﹤
01-2249,221F,221F,A1E8,∟
01-224A,22BF,22BF,A1E9,⊿
01-224C,33D1,33D1,A1EB,㏑
01-2250,2234,2234,A1EF,∴
01-2253,2295,2295,A1F2,⊕
01-2254,2299,2299,A1F3,⊙
01-2255,2191,2191,A1F4,↑
01-2256,2193,2193,A1F5,↓
01-2258,2192,2192,A1F7,→
01-225A,2197,2197,A1F9,↗
01-225B,2199,2199,A1FA,↙
01-225D,2225,2225,A1FC,∥
01-225E,2223,2223,A1FD,∣
01-2260,FF3C,FF3C,A240,＼
01-2261,2215,2215,A241,∕
01-2264,FFE5,FFE5,A244,￥
01-2266,FFE0,FFE0,A246,￠
01-2268,FF05,FF05,A248,％
