; Table generated : 06/16/2023 17:51:48
&U2_CNS
0000 00-0000
0001 00-0001
0002 00-0002
0003 00-0003
0004 00-0004
0005 00-0005
0006 00-0006
0007 00-0007
0008 00-0008
0009 00-0009
000A 00-000A
000B 00-000B
000C 00-000C
000D 00-000D
000E 00-000E
000F 00-000F
0010 00-0010
0011 00-0011
0012 00-0012
0013 00-0013
0014 00-0014
0015 00-0015
0016 00-0016
0017 00-0017
0018 00-0018
0019 00-0019
001A 00-001A
001B 00-001B
001C 00-001C
001D 00-001D
001E 00-001E
001F 00-001F
0020 00-0020
0021 00-0021
0022 00-0022
0023 00-0023
0024 00-0024
0025 00-0025
0026 00-0026
0027 00-0027
0028 00-0028
0029 00-0029
002A 00-002A
002B 00-002B
002C 00-002C
002D 00-002D
002E 00-002E
002F 00-002F
0030 00-0030
0031 00-0031
0032 00-0032
0033 00-0033
0034 00-0034
0035 00-0035
0036 00-0036
0037 00-0037
0038 00-0038
0039 00-0039
003A 00-003A
003B 00-003B
003C 00-003C
003D 00-003D
003E 00-003E
003F 00-003F
0040 00-0040
0041 00-0041
0042 00-0042
0043 00-0043
0044 00-0044
0045 00-0045
0046 00-0046
0047 00-0047
0048 00-0048
0049 00-0049
004A 00-004A
004B 00-004B
004C 00-004C
004D 00-004D
004E 00-004E
004F 00-004F
0050 00-0050
0051 00-0051
0052 00-0052
0053 00-0053
0054 00-0054
0055 00-0055
0056 00-0056
0057 00-0057
0058 00-0058
0059 00-0059
005A 00-005A
005B 00-005B
005C 00-005C
005D 00-005D
005E 00-005E
005F 00-005F
0060 00-0060
0061 00-0061
0062 00-0062
0063 00-0063
0064 00-0064
0065 00-0065
0066 00-0066
0067 00-0067
0068 00-0068
0069 00-0069
006A 00-006A
006B 00-006B
006C 00-006C
006D 00-006D
006E 00-006E
006F 00-006F
0070 00-0070
0071 00-0071
0072 00-0072
0073 00-0073
0074 00-0074
0075 00-0075
0076 00-0076
0077 00-0077
0078 00-0078
0079 00-0079
007A 00-007A
007B 00-007B
007C 00-007C
007D 00-007D
007E 00-007E
007F 00-007F
0080 00-003F
0081 00-003F
0082 00-003F
0083 00-003F
0084 00-003F
0085 00-003F
0086 00-003F
0087 00-003F
0088 00-003F
0089 00-003F
008A 00-003F
008B 00-003F
008C 00-003F
008D 00-003F
008E 00-003F
008F 00-003F
0090 00-003F
0091 00-003F
0092 00-003F
0093 00-003F
0094 00-003F
0095 00-003F
0096 00-003F
0097 00-003F
0098 00-003F
0099 00-003F
009A 00-003F
009B 00-003F
009C 00-003F
009D 00-003F
009E 00-003F
009F 00-003F
00A0 08-2222
00A1 08-2223
00A2 01-2266
00A3 08-2225
00A4 08-2226
00A5 08-2227
00A6 08-2228
00A7 01-2170
00A8 08-2229
00A9 08-222A
00AA 08-222B
00AB 08-222C
00AC 08-222D
00AD 08-222E
00AE 08-222F
00AF 01-2223
00B0 01-2278
00B1 01-2234
00B2 08-2231
00B3 08-2232
00B4 08-2233
00B5 08-2234
00B6 08-2235
00B7 01-2131
00B8 08-2236
00B9 08-2237
00BA 08-2238
00BB 08-2239
00BC 08-223A
00BD 08-223B
00BE 08-223C
00BF 08-223D
00C0 08-223E
00C1 08-223F
00C2 08-2240
00C3 08-2241
00C4 08-2242
00C5 08-2243
00C6 08-2244
00C7 08-2245
00C8 08-2246
00C9 08-2247
00CA 08-2248
00CB 08-2249
00CC 08-224A
00CD 08-224B
00CE 08-224C
00CF 08-224D
00D0 08-224E
00D1 08-224F
00D2 08-2250
00D3 08-2251
00D4 08-2252
00D5 08-2253
00D6 08-2254
00D7 01-2232
00D8 08-2255
00D9 08-2256
00DA 08-2257
00DB 08-2258
00DC 08-2259
00DD 08-225A
00DE 08-225B
00DF 08-225C
00E0 08-225D
00E1 08-225E
00E2 08-225F
00E3 08-2260
00E4 08-2261
00E5 08-2262
00E6 08-2263
00E7 08-2264
00E8 08-2265
00E9 08-2266
00EA 08-2267
00EB 08-2268
00EC 08-2269
00ED 08-226A
00EE 08-226B
00EF 08-226C
00F0 08-226D
00F1 08-226E
00F2 08-226F
00F3 08-2270
00F4 08-2271
00F5 08-2272
00F6 08-2273
00F7 01-2233
00F8 08-2274
00F9 08-2275
00FA 08-2276
00FB 08-2277
00FC 08-2278
00FD 08-2279
00FE 08-227A
00FF 08-227B
0100 08-227C
0101 08-227D
0102 08-227E
0103 08-2321
0104 08-2322
0105 08-2323
0106 08-2324
0107 08-2325
0108 08-2326
0109 08-2327
010A 08-2328
010B 08-2329
010C 08-232A
010D 08-232B
010E 08-232C
010F 08-232D
0110 08-232E
0111 08-232F
0112 08-2330
0113 08-2331
0114 08-2332
0115 08-2333
0116 08-2334
0117 08-2335
0118 08-2336
0119 08-2337
011A 08-2338
011B 08-2339
011C 08-233A
011D 08-233B
011E 08-233C
011F 08-233D
0120 08-233E
0121 08-233F
0122 08-2340
0123 08-2341
0124 08-2342
0125 08-2343
0126 08-2344
0127 08-2345
0128 08-2346
0129 08-2347
012A 08-2348
012B 08-2349
012C 08-234A
012D 08-234B
012E 08-234C
012F 08-234D
0130 08-234E
0131 08-234F
0132 08-2350
0133 08-2351
0134 08-2352
0135 08-2353
0136 08-2354
0137 08-2355
0138 08-2356
0139 08-2357
013A 08-2358
013B 08-2359
013C 08-235A
013D 08-235B
013E 08-235C
013F 08-235D
0140 08-235E
0141 08-235F
0142 08-2360
0143 08-2361
0144 08-2362
0145 08-2363
0146 08-2364
0147 08-2365
0148 08-2366
0149 08-2367
014A 08-2368
014B 08-2369
014C 08-236A
014D 08-236B
014E 08-236C
014F 08-236D
0150 08-236E
0151 08-236F
0152 08-2370
0153 08-2371
0154 08-2372
0155 08-2373
0156 08-2374
0157 08-2375
0158 08-2376
0159 08-2377
015A 08-2378
015B 08-2379
015C 08-237A
015D 08-237B
015E 08-237C
015F 08-237D
0160 08-237E
0161 08-2421
0162 08-2422
0163 08-2423
0164 08-2424
0165 08-2425
0166 08-2426
0167 08-2427
0168 08-2428
0169 08-2429
016A 08-242A
016B 08-242B
016C 08-242C
016D 08-242D
016E 08-242E
016F 08-242F
0170 08-2430
0171 08-2431
0172 08-2432
0173 08-2433
0174 08-2434
0175 08-2435
0176 08-2436
0177 08-2437
0178 08-2438
0179 08-2439
017A 08-243A
017B 08-243B
017C 08-243C
017D 08-243D
017E 08-243E
017F 08-243F
0180 08-2440
0181 08-2441
0182 08-2442
0183 08-2443
0184 08-2444
0185 08-2445
0186 08-2446
0187 08-2447
0188 08-2448
0189 08-2449
018A 08-244A
018B 08-244B
018C 08-244C
018D 08-244D
018E 08-244E
018F 08-244F
0190 08-2450
0191 08-2451
0192 08-2452
0193 08-2453
0194 08-2454
0195 08-2455
0196 08-2456
